Gene	Name	Class	% conserved	Length	%Promoter	%RNP	%ORF	%antisense
ENSMUSG00000052248	Zeb2os	ncRNA host	100	1380	100.00	0.00	23.33	94.13
ENSMUSG00000088789	Scarna13	ncRNA host	100	271	100.00	100.00	0.00	0.00
ENSMUSG00000089281	Scarna6	ncRNA host	100	263	0.00	88.59	0.00	0.00
ENSMUSG00000089417	Gm22009	ncRNA host	100	341	0.00	31.67	0.00	0.00
ENSMUSG00000092837	Rpph1	ncRNA host	100	317	100.00	100.00	0.00	0.00
ENSMUSG00000098383	Gm27197	antisense	100	476	20.17	0.00	0.00	0.00
ENSMUSG00000084865	Gm15723	antisense	90.99	588	0.00	0.00	28.06	90.99
ENSMUSG00000064796	Terc	ncRNA host	84.96	419	84.96	30.79	0.00	0.00
ENSMUSG00000080058	Gm11175	antisense	84.84	917	100.00	32.93	28.57	100.00
ENSMUSG00000104516	Gm9884	antisense	81.79	1219	33.63	0.00	0.00	0.00
ENSMUSG00000073415	Gm10501	antisense	79.27	2190	15.80	3.42	15.89	84.20
ENSMUSG00000098760	Gm27247	antisense	77.54	414	0.00	60.14	0.00	77.54
ENSMUSG00000056316	Gm9996	antisense	73.28	902	100.00	0.00	0.00	73.28
ENSMUSG00000098087	Gm17750	intergenic	71.16	527	0.00	0.00	48.96	0.00
ENSMUSG00000092341	Malat1	ncRNA host	70.34	6981	78.38	42.47	5.50	35.07
ENSMUSG00000102014	2900009J06Rik	antisense	69.9	495	31.92	0.00	46.06	37.98
ENSMUSG00000086820	Gm11465	antisense	66.9	432	0.00	0.00	0.00	0.00
ENSMUSG00000112278	AC163282.1	antisense	66.8	726	100.00	0.00	19.01	0.00
ENSMUSG00000097330	Gm26672	antisense	66.78	6902	7.64	0.00	1.07	81.66
ENSMUSG00000102417	Gm36939	intergenic	64.53	437	0.00	0.00	0.00	0.00
ENSMUSG00000110611	Gm45763	antisense	61.39	1212	93.07	4.95	28.47	72.94
ENSMUSG00000097216	4932441J04Rik	antisense	60.51	4710	39.21	0.00	0.00	49.06
ENSMUSG00000091272	Gm17641	antisense	60.37	2339	0.00	0.00	0.00	58.40
ENSMUSG00000105243	Gm43444	intergenic	60	290	0.00	0.00	0.00	0.00
ENSMUSG00000050334	C130071C03Rik	ncRNA host	59.61	5652	49.58	8.03	6.17	31.48
ENSMUSG00000097047	1110020A21Rik	antisense	59.39	847	59.74	14.17	19.13	0.00
ENSMUSG00000088025	Rprl3	intergenic	56.25	288	0.00	64.24	0.00	0.00
ENSMUSG00000087775	Rprl2	intergenic	54.86	288	0.00	87.15	0.00	0.00
ENSMUSG00000102101	Zbtb11os1	antisense	52.82	1348	100.00	8.31	30.93	37.17
ENSMUSG00000097837	Gm26794	antisense	51.47	4331	23.57	0.00	0.00	59.67
ENSMUSG00000104222	Gm7292	intergenic	51.03	2524	97.39	34.27	14.74	0.00
ENSMUSG00000100552	Gm29019	intergenic	50.54	560	38.21	0.00	9.11	0.00
ENSMUSG00000088675/ENSMUSG00000106222	Rprl1/Rprl1	intergenic	50	326	0.00	2.15	0.00	0.00
ENSMUSG00000085227	6330418K02Rik	antisense	49.44	1343	8.19	0.00	13.40	74.09
ENSMUSG00000097318	1700007L15Rik	antisense	45.63	710	82.96	0.00	21.13	0.00
ENSMUSG00000038152	5033430I15Rik	antisense	43.68	950	100.00	0.00	43.89	0.00
ENSMUSG00000086709	Gm16263	antisense	43.59	491	13.24	0.00	0.00	33.00
ENSMUSG00000056579/ENSMUSG00000098265	Tug1/Gm27517	ncRNA host	43.31	8304	14.97	4.44	2.49	2.32
ENSMUSG00000097961	Gm27000	ncRNA host	42.93	841	0.00	50.18	0.00	0.00
ENSMUSG00000103753	Gm6934	antisense	41.44	1904	80.41	0.00	11.50	22.69
ENSMUSG00000103651	Gm37206	antisense	40.05	3066	0.00	0.00	0.00	100.00
ENSMUSG00000102869	2900097C17Rik	intergenic	39.11	4914	44.32	20.49	5.25	0.00
ENSMUSG00000101320	Gm28529	ncRNA host	38.95	973	44.60	7.30	0.00	35.25
ENSMUSG00000090952	Gm17251	antisense	37.16	923	64.46	28.17	7.48	37.16
ENSMUSG00000085338	2410004I01Rik	intergenic	36.26	1175	0.00	0.00	0.00	0.00
ENSMUSG00000107219	Gm42738	antisense	35.93	437	0.00	0.00	43.25	55.61
ENSMUSG00000103009	Gm4430	antisense	35.28	1942	71.78	8.50	10.14	32.39
ENSMUSG00000085838	Chn1os1	antisense	35.23	633	35.23	0.95	0.00	84.05
ENSMUSG00000087524	Gm14285	antisense	35.2	358	14.80	0.00	50.00	35.20
ENSMUSG00000103864	Gm37415	ncRNA host	34.83	2182	0.78	0.00	0.00	29.74
ENSMUSG00000101905	4930439D14Rik	antisense	34.36	358	58.66	0.00	0.00	0.00
ENSMUSG00000086287	Gm15972	antisense	34.22	415	68.19	0.00	0.00	0.00
ENSMUSG00000087589	D430040D24Rik	antisense	33.47	2827	37.92	0.00	0.00	58.83
ENSMUSG00000097974	Gm10605	antisense	33.43	3566	7.43	11.08	8.41	38.70
ENSMUSG00000097545	Mir124a-1hg	ncRNA host	33.38	4799	0.00	13.44	0.00	0.00
ENSMUSG00000100980	Gm29100	antisense	32.96	4409	0.00	0.00	0.00	35.88
ENSMUSG00000110020	Gm45441	antisense	32.26	1429	0.00	10.78	14.28	73.76
ENSMUSG00000090063	Dlx6os1	ncRNA host	31.91	5164	2.77	4.51	10.42	0.00
ENSMUSG00000066175	2510046G10Rik	antisense	31.3	1051	96.96	0.00	5.14	31.30
ENSMUSG00000056735	A930024E05Rik	antisense	30.97	1892	38.90	0.00	32.51	30.97
ENSMUSG00000018451	6330403K07Rik	intergenic	30.22	1572	29.33	2.86	37.85	0.00
ENSMUSG00000097466	D430036J16Rik	antisense	29.83	2303	20.71	0.00	10.77	40.21
ENSMUSG00000086728	Man2c1os	antisense	29.07	2150	40.33	0.00	8.23	38.70
ENSMUSG00000100252	Mir124-2hg	ncRNA host	29.06	5940	4.36	8.64	2.41	0.00
ENSMUSG00000108591	Particl	antisense	27.65	1559	100.00	12.57	13.28	42.21
ENSMUSG00000085436	Zfp335os	antisense	27.58	1269	31.13	0.00	16.00	31.13
ENSMUSG00000039133	9330171B17Rik	antisense	27.05	2074	5.69	3.47	22.66	50.53
ENSMUSG00000093483	AA465934	intergenic	26.73	692	85.55	0.00	30.78	0.00
ENSMUSG00000086363	A330102I10Rik	intergenic	26.26	1763	0.00	0.00	3.40	0.00
